投诉编号,投诉品牌,投诉车系,投诉车型,问题简述,典型问题,典型问题2,典型问题3,投诉时间,投诉状态,文本
506082,江铃集团新能源,江铃E200L,2020款 E200L 标准型（302KM）,"长安马自达昂克赛拉车身共振希望处理
东风英菲尼迪Q50L副驾驶座椅异响不给保修
比亚迪宋Pro唤醒式大灯功能与宣传不符
长安福特福克斯4S店倒闭保养套餐无法兑现
一汽马自达阿特兹ABC柱天窗和后备箱异响
雷克萨斯ES变速箱故障 车内异响
东风本田思域优科豪马轮胎起皮掉块
上汽名爵3导航无法使用 2挡加速无力
东风日产奇骏变速箱阀体故障希望处理
一汽大众速腾冷车第一次怠速空调不制冷
猎豹Mattu变速箱故障无动力输出
吉利博瑞行驶中转向卡滞导致车辆事故
广汽传祺GS4 4S店登记维修记录与实际不符
一汽奔腾B30发动机缺缸 抖动 熄火
东风本田思域变速箱故障导致无法加速
北京奔驰GLC正常行驶减震器断裂
上汽荣威i5发动机故障灯亮多缸失火
一汽红旗H5优科豪马轮胎鼓包影响安全
上汽大众朗逸油箱异响密封条多处开裂
广汽丰田雷凌钥匙密码牌丢失厂家未解决
东风雷诺科雷傲方向盘松旷行驶时车身抖动
广汽丰田凯美瑞方向盘有严重掉皮的现象
江西五十铃瑞迈方向盘不正和发动机漏油
雪佛兰科鲁兹转向失灵方向盘无法转动
东风日产轩逸车身存在色差 显示屏黑屏
雪佛兰迈锐宝固特异轮胎起皮希望厂家处理
别克阅朗电瓶损坏导致发动机无法启动
江铃新能源E200L方向盘沉重 续航里程不足",转向系统,打方向沉重,续航里程不准,2020-08-06,用户评分,车身附件及电器
506023,长安福特,锐际,2020款 EcoBoost 245 四驱 悦享款,"一汽大众速腾踩油门时变速箱位置有异响
东风雪铁龙C5车门漆面脱落要求解决
雪佛兰迈锐宝XL踩油门时动力输出延迟
华晨宝马X1刹车片碎裂导致刹车失灵
一汽大众蔚领方向盘卡顿影响正常驾驶
别克凯越中控仪表台脱胶开裂要求免费更换
众泰Z700发动机异响保修期内联系不到客服
别克君威三元催化器故障导致发动机故障灯亮
东风标致408行驶中熄火变速箱顿挫
北京现代菲斯塔天窗异响维修后未解决
别克凯越中控台开胶希望尽快处理
起亚K5凯酷主驾驶座椅生锈后备箱开关开裂
进口Jeep指南者车内异味严重影响健康
斯柯达昕锐车内异味严重存在质量问题
宝骏560经销商同意退车后车款未到账
东风日产劲客冷凝器泄漏制冷剂无法制冷
东风日产天籁行驶跑偏4S店多次维修未解决
长安CS85 COUPE变速箱漏油挂挡顿挫
北京现代朗动转向异响卡滞要求厂家处理
比亚迪宋MAX实车没有PM2.5空气净化系统
东风雷诺科雷嘉经销商修出新问题
吉利星越中控异响 变速箱顿挫 赠品不兑现
别克君威后仰角异响希望厂家给予召回
斯柯达速派天窗异响 车身干涉 座椅松旷
华晨宝马X3前悬挂异响要求彻底解决故障
广汽本田雅阁交付订金后经销商不交付车
比亚迪S7发动机线束腐蚀老化影响安全
长安福特锐际发动机故障灯亮存在质量问题",发动机,故障灯亮,,2020-08-06,用户评分,车身附件及电器
505968,众泰汽车,众泰T300,2017款 1.5L 手动 尊享型,"华晨宝马3系4S店受损大灯不定损服务态度恶劣
众泰T700火花塞断裂导致发动机拉缸
顾忌是一辆试驾车
比亚迪宋Pro多项配置与厂家宣传不符
上汽大众朗逸仪表灯疑似设计缺陷
广汽传祺GS4发动机抖动维修后未解决
吉利缤越发动机抖动中央扶手箱盖板掉落
东风日产劲客气囊报警 传感器故障
长安福特福克斯车身模块损坏存在设计缺陷
上汽大众朗逸启动后自动启停功能报警
吉利帝豪GL前车轮磨损严重希望尽快处理
北京奔驰GLK方向盘盖板高温融化变形
一汽马自达阿特兹车身 天窗 中控空调异响
北京现代领动经销商违规收取贷款利息
东风日产奇骏中控台和转向异响变速箱顿挫
上汽大众朗逸车内异味影响身体健康
别克英朗发动机故障灯亮存在质量缺陷
奇瑞瑞虎8方向盘多功能按键失灵质量差
北京奔驰C级4S店扣押随车物品强制购买保险
东风日产天籁新车5天偶发刹车失灵
吉利帝豪车身多处生锈无人处理问题
吉利GX7变速箱质量差 4S店维修无配件
长安福特福克斯发动机有严重漏油的现象
一汽大众宝来发动机废气阀和正时调节阀渗油
雪佛兰景程车内异味严重希望厂家给予解决
一汽大众速腾右前轮轮速传感器故障
吉利嘉际备胎添加垫片处理方式不合理
众泰T300发电机损坏倒车雷达不报警",车身附件及电器,倒车雷达失灵,发电机故障,2020-08-06,厂家受理,发动机
505915,广汽本田,飞度,2004款 三厢飞度 1.3 AT CVT,"上汽大众帕萨特车辆凭空出现维修记录
上汽通用五菱宏光变速箱异响希望厂家处理
长安福特福克斯节气门存在有大量机油
东风标致207后桥变形右后轮磨擦内衬	
捷豹XEL经销商销售不退还购车定金
上汽通用别克君越车内音响异响有杂音
长安睿驰两后门三角窗生锈要求厂家处理
一汽马自达CX-4购车缴纳定金未退还
长安福特翼虎水泵漏水厂家不予解决
吉利帝豪GL前挡风玻璃有裂纹存在质量问题
一汽大众奥迪Q5发动机漏防冻液希望厂家处理
上汽荣威i5变速箱异响 离合器异响顿挫
上汽荣威i5中控黑屏 发动机自动熄火
华晨宝马3系发动机漏冷却液存在质量问题
广汽本田雅阁倒车摄像头故障无法使用
广汽丰田雷凌减震器多次漏油要求厂家解决
猎豹Mattu发动机故障灯亮启动困难
哈弗H6怠速不稳行驶中踩油门无动力
雪佛兰迈锐宝XL行驶中提示车门未锁失去动力
长安马自达昂克赛拉转向异响后视镜折叠故障
一汽大众奥迪Q3车身漏水希望尽快处理
一汽马自达CX-4车身多处存在异响
一汽大众速腾变速箱异响顿挫空调制冷效果差
上汽荣威RX3底盘前后悬架生锈严重
众泰芝麻动力电池故障无法行驶希望处理
吉利帝豪GS离合器踏板不回弹无法挂挡
一汽大众探影踩刹车时抖动异响希望厂家解决
广汽本田飞度变速箱抖动希望可以处理",变速器,抖动,,2020-08-06,用户评分,变速器
505841,东风标致,标致308,2018款 1.6L 自动 豪华版,"长安福特锐界发动机报警 米其林轮胎开裂
一汽马自达阿特兹后备箱中控台和AB柱异响
东风风光580车身漏水希望厂家处理
吉利星越变速器顿挫 车机卡顿 后视镜松动
华晨宝马3系热管理模块损坏导致冷却液泄漏
广汽丰田凯美瑞仪表台出油要求厂家召回
奇瑞艾瑞泽5缸压不足怠速时熄火
领克01经销商保险维修返现承诺不兑现
长安欧尚CX70胎压报警故障4S店不予保修
吉利星越方向机 中控台异响 发动机共振抖动
北京奔驰E级变速箱9挡齿轮共振厂家不回复
吉利博瑞发动机异响倒车影像黑屏要求解决
东风标致408油表不准 汽油泵故障
一汽丰田荣放RAV4机油增多希望处理
华晨宝马X1左后排气处偶尔出现异响
奇瑞瑞虎8发动机抖动希望尽快处理
雪佛兰探界者无法启动 行驶中自动熄火
长安福特福克斯变速箱电脑损坏厂家拒赔
奇瑞艾瑞泽5车载系统无法进行手机连接
吉利博越仪表和导航无法升级影响使用
一汽大众奥迪Q5L仪表提示全轮驱动故障
上汽大众速腾变速箱顿挫要求尽快解决
起亚KX5变速箱顿挫锦湖轮胎开裂起皮
一汽马自达阿特兹车身多处异响希望解决
奇瑞瑞虎8机油增多 油耗高 节气门处有机油
上汽大众帕萨特变速箱异响厂家未回复
长安逸动XT发动机油耗高多次维修未解决
东风标致308三元催化器故障厂家不予保修",车身附件及电器,三元催化器故障,,2020-08-06,用户评分,车身附件及电器
505782,一汽马自达,马自达CX-4,2020款 2.0L 自动 两驱 蓝天品位版,"奇瑞艾瑞泽GX变速箱顿挫 车内异响
一汽马自达CX-4车身多处异响希望处理
上汽大众途观L行驶中摇臂脱落加速无力
东风日产奇骏转向卡顿 空调不制冷
上汽大众途观L前减震器异响 厂家不予索赔
别克昂科拉车牌照易脱落望厂家处理
上汽大众朗逸半轴油封漏油希望厂家处理
野马T80打方向沉重 手刹故障 遥控及车门故障
一汽大众奥迪A6L车内及后备箱异味严重
上汽大众朗逸变速箱异响 仪表台异响严重
一汽马自达阿特兹车身异响多次维修没有解决
众泰T700天窗漏雨希望厂家尽快解决
北汽昌河Q7方向抖动跑偏吃胎要求解决
上汽荣威RX5变速箱异响越来越严重
北京BJ20天窗下雨漏水一直未解决
华晨宝马3系水箱漏防冻液 空调不制冷
北京现代胜达自动断电熄火影响安全
东风日产轩逸经销商不退还预付款要求解决
江淮和悦底盘生锈 大梁开裂严重要求解决
广汽传祺GS4电子手刹无法松开要求解决
长安CS75 PLUS车身有色差 车窗开关时异响
一汽马自达阿特兹车身异响 天窗异响
一汽大众速腾变速箱异响严重厂家不予解决
一汽大众奥迪A6L车灯老化严重要求厂家解决
上汽大众途观L新能源空调不制冷4S店不解决
一汽丰田亚洲龙发动机无法启动故障灯亮
比亚迪宋4S店无法提车要求退还定金
一汽马自达CX-4中控台和车身异响要求解决",车身附件及电器,中控台异响,车身异响,2020-08-05,处理反馈,车身附件及电器
505705,长城汽车,WEY VV5,2017款 VV5 旗舰型,"东风标致408发动机故障灯亮 充电故障
奇瑞瑞虎8发动机故障灯亮抖动要求解决
东风凯普特K6发动机水温高4S店无法解决
一汽马自达阿特兹车内中控车身异响严重
一汽丰田亚洲龙行驶过程中发动机熄火
一汽马自达阿特兹油箱刹车和车身有异响
东风日产奇骏行驶过程中中控台有异响
众泰T300变速箱挂倒挡困难一直未解决
哈弗H6大灯有进水的现象要求厂家处理
长安CS55车身有色差后尾门螺丝有拧动痕迹
一汽马自达阿特兹行驶中B柱和C柱有异响
北汽幻速S5倒车影像黑屏而且自动重启
启辰D60起步时顿挫4S店查不出原因
东风本田CR-V发动机熄火 燃油泵故障
北京现代途胜车漆脱落4S店否认质量问题
哈弗H6倒车影像死机 门把手掉漆 B柱异响
广汽三菱欧蓝德发动机冷启动困难
吉利帝豪车身生锈后尾门异响希望厂家处理
北汽福田奥铃离合器故障 车门生锈 烧机油
上汽名爵3正时链条损坏无法启动
长城炮变速箱换挡共振换挡逻辑不合理
广汽本田思迪车身侧裙锈蚀存在质量问题
东风日产逍客车门密封不严导致进水
进口沃尔沃V90低频共振希望厂家处理
海马M6车身多处生锈希望厂家处理问题
广汽丰田雷凌车身B柱异响变速箱顿挫
上汽大众朗逸发动机漏油希望厂家处理
WEY VV5启动空调转数不提升 车身抖动",发动机,抖动,,2020-08-05,处理反馈,发动机
505657,广汽乘用车,传祺GS4,2017款 200T 双离合 两驱 豪华版,"猎豹Mattu变速箱故障灯亮要求解决
北京现代朗动转向卡滞要求厂家处理
广汽传祺GS4车载智慧传祺APP无法使用
哈弗H2配件质量差多次维修要求退换车
捷达VS7左后门异响严重希望尽快处理
一汽马自达CX-4车身异响 中控腐蚀
别克英朗暴晒后空调雨刮自动工作
众泰T700变速箱故障导致无法加速
雪佛兰探界者开空调存在异响希望处理
东风雪铁龙C4L发动机烧机油严重
吉利博越变速箱顿挫 刹车异响希望处理
华晨宝马3系发动机漏油严重希望尽快处理
东风标致408发动机异响存在严重质量问题
猎豹CS9新能源车辆续航里程严重不足
一汽马自达阿特兹A柱B柱C柱及中控异响
一汽大众迈腾售后更换叶子板疑似非原厂件
广汽丰田C-HR发动机故障灯亮启动困难
东风日产轩逸倒车影像蓝屏存在质量问题
进口宝马X5互联驾驶功能提前结束
别克君威4S店维修后变速箱漏油 顿挫闯动
长安逸动XT变速箱P挡无法移出要求处理
福田时代驭菱轻卡启动机故障希望处理
广汽传祺GS4全景影像摄像头进水花屏
雪佛兰科沃兹车身通电后无法启动希望解决
哈弗F7x后挡风玻璃无故破碎要求解决
吉利博瑞天窗无法打开厂家不予回复
广汽本田凌派前保险杠喷漆后掉皮严重
广汽传祺GS4车身漏水严重4S店不予保修",车身附件及电器,车身漏水,服务态度,2020-08-05,用户评分,转向系统
505579,东风标致,标致4008,2017款 380THP 精英版,"北京现代菲斯塔车门异响4S店保养折扣不兑现
长安逸动排气未装隔热瓦导致备胎热熔
东风标致408车门固定螺钉生锈 轮毂氧化
北京现代悦动车身漏水严重 发动机舱生锈
一汽大众迈腾变速箱机电单元故障
上汽大众朗逸左前轮异响严重希望处理
广汽本田雅阁摄像头安装错误倒车影像偏移
上汽通用五菱征程变速箱漏油4S店不予保修
东风雪铁龙C4L方向盘上下松动希望厂家处理
东风标致408发动机烧机油车窗升降异常
广汽本田飞度发动机异响冷车启动困难
东风本田CR-V左前门异响后备箱缝隙不一致
吉利博越变速箱顿挫车机多次死机要求解决
上汽大众途昂购车时4S店收取高额服务费
北京现代领动方向管柱异响更换未解决
凯迪拉克ATS-L车窗升降故障 价格不透明
上汽大众朗逸刹车片异响严重 影响使用
上汽大众朗逸车内异味严重影响健康
宝骏730发动机共振 发电机螺母松动导致异响
众泰SR9变速箱挂入D挡之后无法行驶
长安福特蒙迪欧天窗框架生锈掉漆
长安福特福睿斯主驾车窗无法升降
一汽大众奥迪Q5大灯起雾 多次维修未解决
长安标致雪铁龙DS 4S无法办理解押手续
别克威朗空调蒸发箱泄漏导致异味严重 望解决
一汽大众探岳中控导航死机黑屏希望厂家处理
一汽大众宝来车身不平整要求尽快处理
东风标致4008方向盘转向时出现异响",转向系统,异响,,2020-08-05,处理反馈,其他
505522,东风悦达起亚,K5凯酷,2012款 2.0L 自动 DLX,"上汽大众帕萨特变速箱机电控制单元故障
上汽大众途观副驾驶遮阳板 脚垫下边渗水
一汽大众探歌发动机高压油泵存在异响
奇瑞eQ方向机漏油 多次维修未解决 影响使用
英菲尼迪QX50发动机风扇声响大 检查未解决
一汽马自达CX-4车身多处异响严重希望处理
上汽大众朗逸行驶中无法加速希望厂家处理
比亚迪F0底盘和车架锈穿 影响使用
一汽大众迈腾变速箱机电单元损坏
东风标致308行驶中方向盘抖动影响使用
吉利远景变速箱无法换挡希望尽快处理
一汽大众奥迪A3故意隐瞒贷款金额及利息
北京现代领动耐克森轮胎鼓包存在质量问题
凯迪拉克XT5变速箱异响抖动严重要求解决
进口英菲尼迪QX60变速箱异响质量差
广汽丰田雷凌两后减震器漏油 影响使用
众泰T700变速箱顿挫无法加速要求厂家解决
上汽大众帕萨特变速箱失去动力要求解决
知豆D2空调压缩机损坏 一直没有配件 
华晨中华V7发动机漏油车辆无法行驶
一汽大众奥迪A3行驶中变速箱故障灯亮
东风标致408发动机严重烧机油要求解决
东风日产逍客行驶中风扇异响希望厂家处理
吉利缤越车机系统无法升级厂家不兑现承诺
奇瑞瑞虎8大灯两侧有盲区 车门设计缺陷
华晨宝马X1后轮刹车片磨损殆尽影响使用
别克昂科威主驾驶侧安全带起毛而且卡滞
东风悦达起亚K5发动机抖动存在质量问题",发动机,抖动,,2020-08-05,处理反馈,车身附件及电器
505455,东南汽车,东南DX3,2018款 1.5L 手动 尊贵型,"一汽大众速腾韩泰轮胎开裂 减震器异响
华晨宝马X3打开空调后车内低频共振
一汽马自达阿特兹B柱异响以及车轮异响
北汽绅宝X25转向助力系统卡死影响安全
一汽马自达CX-4车身右侧A柱异响
吉利嘉际新能源车机导航不准确语音系统失灵
上汽通用五菱荣光新卡空调有异响
吉利缤越转向柱漏油天窗按钮漏油刹车异响
一汽大众迈腾发动机怠速不稳 变速箱异响
吉利缤越车机系统升级承诺不兑现
华晨宝马3系方向盘无法转动  影响行车安全
纳智捷大7 SUV售后维修后发动机拉缸
一汽马自达阿特兹车身多处异响方向跑偏
斯柯达柯珞克ACC自适应巡航失灵
东风雪铁龙C5车内异味存在质量问题
一汽大众迈腾变速箱机电控制单元故障
斯柯达明锐启动机故障导致无法点火启动
东风本田杰德车内异味开空调发动机抖动
一汽马自达CX-4中控台异响 车身异响
东风日产骐达强制收取解押费 扣押车辆登记证
上汽大众帕萨特变速箱机电单元故障
宝骏560变速箱损坏行驶过程中失去动力
华晨宝马3系冷却水管断裂要求处理
欧拉黑猫同款车型质保期不一致要求处理
上汽大众帕萨特挂挡异响 车身抖动
一汽大众新速腾天窗漏水 维修未解决
东南DX3保险杠更换后缝隙大自然脱落
东南DX3经销商无法联系退还续保押金",,承诺不兑现,,2020-08-05,用户评分,发动机
505387,东风标致,标致408,2016款 1.6T 自动 豪华版,"广汽本田雅阁避震下沉更换后行驶左倾严重
雪佛兰科鲁泽拆除保险杠乱收费 不合理
北京奔驰C级天窗漏水导致车内积水
雪佛兰科鲁泽刹车异响方向盘不正发动机异响
宝骏560车门外侧打不开 起步顿挫严重
东风悦达起亚K3中控台异响 尾灯进水
北京奔驰GLC发动机缸体破裂 车辆无法行驶
进口大众途锐中控台塑料面板开裂
一汽马自达CX-4车身异响 天窗异响 刹车异响
英菲尼迪QX60油电切换异响变速箱异响
上汽通用别克君威变速箱顿挫 中控台有异响
雪佛兰迈锐宝XL车辆右后左后转向节异响
雪佛兰迈锐宝挂入P挡车钥匙无法拔出
进口大众蔚揽天窗漏水4S店不予索赔
长安逸动排气管没有隔热瓦希望处理
一汽丰田卡罗拉车载互联故障影响使用
东风悦达起亚K3打方向时存在严重异响
东风雷诺科雷傲车内异响严重4S店距离远
凯迪拉克ATS-L变速箱抖动中控屏破裂
福特锐界固特异轮胎龟裂 AppLink无法使用
上汽大众途观L怠速状态下车内噪音大
东风标致4008打方向盘时有严重的异响
进口凯迪拉克ATS影音系统故障无法正常使用
东风标致408行驶过程中后桥出现异响
广汽本田雅阁轮胎吃胎偏磨 多次维修未解决
北京现代领动空调面板和升降器开关开裂
上汽名爵ZS行驶中熄火 发动机高温
东风标致408固特异轮胎开裂发动机异响抖动",发动机,异响,抖动,2020-08-05,厂家受理,服务收费
505335,长城汽车,长城C30,2013款 1.5L 手动 精英型,"众泰T600踩油门无法行驶 变速箱噪音大
东风标致207后桥变形异响要求尽快处理
东风日产奇骏变速箱低速抖动异响
一汽大众宝来轮胎异常磨损 厂家不予索赔
一汽丰田亚洲龙机油增多 倒车异响 车内噪音
东风悦达起亚智跑发动机漏油 减震器漏油
长安福特福克斯左右打方向前车轮处有异响
雪佛兰科鲁兹经销商保险维修记录无法查询
一汽马自达阿特兹方向机异响 前轮轴承异响
一汽马自达CX-4行驶过程中左前轮处有异响
一汽大众奥迪A4L发动机漏防冻液驻车开关坏
奇瑞艾瑞泽5整车故障多厂家不予解决
吉利远景变速箱无法加速 厂家不解决
东风本田思域启动时发动机异响要求处理
上汽荣威RX5 MAX行进中变速箱突然脱挡
吉利星越车机系统卡顿黑屏 车轮轴承生锈
比亚迪宋Pro车内异味严重要求解决
上汽大众朗逸车内异味持续存在无法去除
一汽马自达阿特兹中控台异响行驶跑偏
广汽丰田凯美瑞中控台融化厂家拒赔
福田瑞沃ES5离合器多次损坏要求厂家解决
上汽大众途观L经销商员工驾车出事故不解决
一汽丰田亚洲龙动力电池隔板生锈希望解决
广汽丰田C-HR变速箱漏油发动机中缸损坏
众泰T800行驶中发动机动力消失4S店不解决
一汽丰田卡罗拉雨刮器异响要求尽快解决
上汽荣威360空调有时不制冷除雾功能失灵
长城C30车漆开裂空调不制冷4S店不解决",车身附件及电器,空调问题,漆面起泡开裂,2020-08-04,处理反馈,前后桥及悬挂系统
505263,长安汽车,凌轩,2017款 1.5T 自动 乐活进取型,"斯柯达明锐天窗漏水严重4S店无法解决
别克英朗低速发动机有异响希望给予解决
江铃福特撼路者变速箱加速异响4S店未解决
雪佛兰科鲁泽发动机油耗高 变速箱异响
凯迪拉克CT5车载行车记录仪拍摄不完整
上汽大众凌渡内饰多处按键开裂4S店不解决
一汽马自达CX-4车窗异响要求给予解决
宝骏560变速箱无法挂挡行驶中失速
一汽丰田卡罗拉变速箱顿挫 转向时有异响
广汽本田飞度冷车启动发动机有异响
奇瑞A3车门和叶子板锈蚀鼓包要求处理
别克昂科威变速箱有漏油异响的现象
吉利远景变速箱异响挂前进挡却向后行驶
东风风神AX7仪表盘闪烁 车窗升降按键断裂
上汽大众朗逸变速箱异响影响使用
东风日产骐达悬架生锈腐蚀厂家未回复
长安福特福克斯更换模块后LED大灯失灵
广汽本田锋范经典车身多处生锈腐蚀
别克君威变速箱漏油4S店不作处理
宝骏730离合器分离轴承损坏厂家不处理
一汽马自达CX-4行驶中打方向有严重异响
别克君威车辆召回不通知 4S店态度极差
凯迪拉克CT6副驾驶气囊结构生锈
北汽威旺407EV维修后充电慢希望厂家处理
一汽大众速腾变速箱异响存在质量问题
华晨中华V7发动机漏油后减震支架断裂
广汽本田冠道刹车失灵 燃油泵故障
长安凌轩传动轴卡子掉落导致抖动严重",变速器,异响,抖动,2020-08-04,处理反馈,变速器
505210,上汽大众,途安,2016款 途安L 280TSI 自动 舒适版,"东风风神奕炫车灯进水希望厂家处理问题
猎豹CS10转向机松旷导致转向时有异响
东风本田思域优科豪马轮胎脱皮希望召回
哈弗F7天窗车身B柱异响方向盘抖动
长安福特福克斯变速箱换挡困难存在质量问题
奇瑞瑞虎5x低速顿挫严重 车内有异味
一汽大众探歌提示前部传感器故障
吉利帝豪仪表显示变速箱故障灯亮
一汽大众速腾车顶不明原因龟裂掉漆
一汽马自达CX-4车身B柱异响希望处理
上汽大众凌渡颠簸路面变速箱异响严重
东风标致4008方向盘异响 怠速抖动
野马T80鸣笛喇叭不响 灯光接触不良
福田奥铃吃胎偏磨影响安全希望处理
广汽本田飞度启动马达故障导致启动困难
捷途X70减震器硬 玻璃异响 车身色差
一汽丰田威驰经销商维修技术差导致漏风
上汽大众朗逸车内异味严重希望处理
沃尔沃亚太S90仪表台脱胶开裂希望处理
华晨宝马X3发动机抖动存在质量问题要求解决
一汽大众高尔夫发动机怠速不稳维修未解决
东风日产劲客仪表故障多次维修无工单
东风雷诺科雷缤承诺10年免流量不予兑现	
哈弗H6自动驻车 自动启停 坡道缓降报警
一汽森雅R9中控屏触摸失效要求厂家处理
一汽大众高尔夫转向异响希望得到处理
一汽马自达阿特兹行驶中车身B柱异响
大众途安变速箱机电单元损坏导致无法行驶",变速器,滑阀箱故障,,2020-08-04,处理反馈,转向系统
505145,上汽通用别克,君威,2019款 20T 精英型 国VI,"吉利缤越转向柱生锈 希望厂家解决
北京现代途胜出售库存车赠送流量已被使用
东风御风EV动力电池故障厂家不予保修
北京奔驰C级胎压报警 防侧滑报警 SOS报警
WEY P8 4S店使用非原厂车门更换
东风悦达起亚K4变速箱进水生锈异响
上汽大众途观L变速箱机电单元故障不予保修
吉利博越新车缺失保养手册4S店不予解决
一汽马自达阿特兹AB柱异响 显示屏死机
一汽大众速腾购车承诺保养卡不兑现 态度差
哈弗H6发动机怠速时抖动厂家未解决问题
上汽大众朗逸变速箱异响希望厂家处理问题
东风风光580刹车偏软导致刹车距离延长
广汽本田飞度漏防冻液 服务站检查不出原因
一汽马自达阿特兹转向中控台AB柱异响
江淮瑞风M3制动漏油 喇叭不响 雨刮片损坏
吉利帝豪GL变速箱异响顿挫加速抖动
东风风行菱智电子转向助力失效导致沉重
一汽马自达CX-4车身A柱和后备箱处异响
吉利海景4S店不提供备用钥匙要求解决
一汽丰田RAV4荣放优科豪马轮胎发黄
雪佛兰迈锐宝熄火后仪表盘显示请换至P挡
长安马自达昂克赛拉变速箱故障无法加速
东风风光580经销商出售库存车不解决
哈弗H4固特异轮胎开裂希望尽快处理
长安福特锐界发动机拉缸4S店不予索赔
上汽名爵6离合器异响4S店售后不解决
别克君威车内异响 启停不工作 高位刹车灯进水",车身附件及电器,车内异响,车灯进水,2020-08-04,用户评分,承诺不兑现
505073,上汽大众,途观L,2018款 330TSI 自动 两驱 旗舰版,"长安马自达昂克赛拉新车保险杠色差严重
上汽大众朗逸后悬挂生锈4S店无法解决
东风日产奇骏变速箱异响无法加速故障灯亮
奇瑞瑞虎7方向盘不正行驶跑偏要求解决
北京现代领动耐克森轮胎掉皮4S店不予保修
北汽威旺M50F售后不履行终身保修服务
雪佛兰科鲁泽音响失灵变速箱顿挫中控台异响
海马S5购车赠送保养未兑现车辆无法启动
东风标致408召回皮带后严重烧机油
上汽荣威i5两侧后视镜开裂发动机异响
东风日产骐达发动机故障灯亮存在质量问题
江铃福特领界事故后更换大灯品质不良
长安福特锐界行驶熄火 换挡顿挫 厂家不回复
东南DX7车门和引擎盖生锈车漆氧化
一汽马自达阿特兹车身异响中控台异响
东风日产天籁行驶时车身高低不同 服务态度差
一汽马自达阿特兹中控台B柱以及C柱异响
江淮iEV6E动力电池故障厂家没有配件
北汽威旺M30更换配件自付工时费
东风日产奇骏行驶过程中变速箱有口哨声
北京现代ix25空调不制冷 4S店不予保修
广汽丰田汉兰达原车韩泰轮胎开裂
广汽本田冠道自动启停功能失效 厂家不保修
东风雪铁龙C4L方向盘上下左右活动间隙大
宝骏730车内异味厂家一直未解决问题
长安马自达CX-5发动机故障灯亮 无法解决
宝骏E100购车时经销商收取续保押金
上汽大众途观L轮毂表面氧化 厂家拒绝更换",车身附件及电器,轮毂问题,,2020-08-04,用户评分,前后桥及悬挂系统
505004,吉利汽车,缤越,2019款 260T DCT Battle 运动款 国V,"长安马自达昂克赛拉冷车启动困难
北京现代领动打开车门或行驶中门窗有异响
上汽大众途观L新能源变速箱异响严重
一汽马自达阿特兹车身异响厂家未解决
北京现代领动空调面板出现开裂的现象
一汽大众奥迪Q3电瓶亏电 4S店不予保修
一汽马自达阿特兹全车多处异响希望解决
一汽马自达CX-4车身 天窗 方向盘异响
东风本田思域行驶中发动机熄火启动困难
一汽大众迈腾变速箱机电控制单元故障
东风悦达起亚K5凯酷行驶过程中ABS故障灯亮
上汽通用五菱宏光车身异响更换车窗未解决
东风标致508涡轮增压电磁阀故障无法加速
长安睿骋车内防火墙隔音棉异味严重
东风悦达起亚KX5新车电子手刹按键磨损
奇瑞瑞虎8发动机启动困难希望厂家处理
东南DX3行驶中自燃发动机支架断裂
一汽马自达阿特兹AB柱异响中控屏死机
江淮瑞风S3备胎生锈严重4S店不予处理
吉利远景变速箱故障无提示 车辆失速
东风风神奕炫尾灯处生锈 后尾灯进水起雾
上汽通用雪佛兰迈锐宝挂P挡报警 熄火
一汽马自达阿特兹变速箱漏油 车身异响
比亚迪宋Pro无龙晶之魂唤醒式LED大灯
广汽传祺GS4车门底部生锈 漆面起泡
东风本田思域优科豪马轮胎开裂掉皮
北京奔驰GLA发动机故障灯亮希望厂家处理
吉利缤越车顶漆面有掉漆的现象影响美观",车身附件及电器,漆面起泡开裂,,2020-08-04,处理反馈,车身附件及电器
504936,东南汽车,东南DX3,2017款 1.5T 手动 旗舰型,"力帆迈威下摆臂异响厂家无配件更换
奇瑞瑞虎5发动机正时皮带断裂要求厂家处理
一汽大众速腾行驶抖动异响仪表盘有划痕
别克君威变速箱异响行驶中动力消失
一汽马自达阿特兹全车异响多次维修未解决
凯迪拉克CT6凉车发动机抖动严重要求解决
东风日产天籁加速变速箱抖动希望处理
东风日产天籁智联APP无法使用希望厂家解决
长安马自达3仪表内饰出现裂纹希望处理
东风雪铁龙C4L高速正常行驶剎车失灵
雪佛兰迈锐宝自动风尚版后备箱进水
亚太沃尔沃XC60变速箱抖动4S店无法解决
启辰T90经销商押金不退随车手续未提供
领克03厂家虚假宣传 补贴无法落实兑现
一汽马自达阿特兹车身异响 内饰异响
东风本田思域优科豪马轮胎掉块脱皮
克莱斯勒300C仪表台与前挡风连接处开胶变形
一汽马自达阿特兹行驶过程中C柱有异响
广汽菲克Jeep指南者发动机有砂眼导致漏油	
一汽大众探歌雨刷工作异响 影响驾驶
东风日产天籁变速箱故障 起步时车辆抖动
一汽大众奥迪A6L空调压缩机严重异响
东风日产逍客变速箱故障 无法加速 车身抖动
上汽通用凯迪拉克XT4销售与宣传不符
一汽马自达阿特兹车身中控异响厂家不解决
上汽通用五菱宏光中控无原厂配件
长安福特福克斯米其林轮胎爆胎 鼓包 漏气
东南DX3方向盘沉重 ABS失效 离合器打滑",离合器,打滑,打方向沉重,2020-08-04,处理反馈,发动机
